date,actual,predicted
2025-01-20 05:00:00,0.0,412.2
2025-01-20 06:00:00,0.0,414.5
2025-01-20 07:00:00,0.0,383.0
2025-01-20 08:00:00,0.0,320.2
2025-01-20 09:00:00,18.432,240.1
2025-01-20 10:00:00,20.736,159.1
2025-01-20 11:00:00,20.64,92.56
2025-01-20 12:00:00,20.832,48.4
2025-01-20 13:00:00,21.6,24.8
2025-01-20 14:00:00,22.56,15.28
2025-01-20 15:00:00,22.08,12.51
2025-01-20 16:00:00,42.624,12.35
2025-01-20 17:00:00,495.84,12.28
2025-01-20 18:00:00,685.44,7.03
2025-01-20 19:00:00,686.88,2.184
2025-01-20 20:00:00,212.256,-7.45
2025-01-20 21:00:00,0.0,-15.625
2025-01-20 22:00:00,0.0,-21.69
2025-01-20 23:00:00,0.0,-18.66
2025-01-21 00:00:00,0.0,13.664
2025-01-21 01:00:00,0.0,151.2
2025-01-21 02:00:00,0.0,232.2
2025-01-21 03:00:00,0.0,337.5
2025-01-21 04:00:00,0.0,421.0
2025-01-21 05:00:00,0.0,468.2
2025-01-21 06:00:00,0.0,473.8
2025-01-21 07:00:00,0.0,439.0
2025-01-21 08:00:00,0.096,367.0
2025-01-21 09:00:00,18.72,272.2
2025-01-21 10:00:00,20.544,176.2
2025-01-21 11:00:00,20.16,97.8
2025-01-21 12:00:00,20.832,47.47
2025-01-21 13:00:00,22.176,21.48
2025-01-21 14:00:00,162.432,11.43
2025-01-21 15:00:00,479.616,10.24
2025-01-21 16:00:00,306.816,11.266
2025-01-21 17:00:00,548.832,10.77
2025-01-21 18:00:00,686.4,6.34
2025-01-21 19:00:00,684.768,0.2456
2025-01-21 20:00:00,323.424,-8.33
2025-01-21 21:00:00,0.0,-17.84
2025-01-21 22:00:00,0.0,-25.53
2025-01-21 23:00:00,0.0,-22.2
2025-01-22 00:00:00,0.0,12.055
2025-01-22 01:00:00,0.0,160.5
2025-01-22 02:00:00,0.0,251.1
2025-01-22 03:00:00,0.0,369.5
2025-01-22 04:00:00,0.0,463.5
2025-01-22 05:00:00,0.0,517.5
2025-01-22 06:00:00,0.0,523.0
2025-01-22 07:00:00,0.0,482.8
2025-01-22 08:00:00,0.0,400.8
2025-01-22 09:00:00,17.568,292.2
2025-01-22 10:00:00,20.736,183.9
2025-01-22 11:00:00,20.448,98.56
2025-01-22 12:00:00,20.448,43.44
2025-01-22 13:00:00,21.696,16.67
2025-01-22 14:00:00,68.64,8.17
2025-01-22 15:00:00,519.648,8.375
2025-01-22 16:00:00,364.032,9.83
2025-01-22 17:00:00,567.648,9.75
2025-01-22 18:00:00,686.304,6.02
2025-01-22 19:00:00,683.904,0.3352
2025-01-22 20:00:00,355.2,-9.66
2025-01-22 21:00:00,0.0,-20.08
2025-01-22 22:00:00,0.0,-28.5
2025-01-22 23:00:00,0.0,-24.19
2025-01-23 00:00:00,0.0,17.05
2025-01-23 01:00:00,0.0,171.2
2025-01-23 02:00:00,0.0,272.2
2025-01-23 03:00:00,0.0,403.5
2025-01-23 04:00:00,0.0,508.5
2025-01-23 05:00:00,0.0,567.0
2025-01-23 06:00:00,0.0,572.0
2025-01-23 07:00:00,0.0,527.5
2025-01-23 08:00:00,0.0,434.5
2025-01-23 09:00:00,16.512,312.8
2025-01-23 10:00:00,20.448,192.9
2025-01-23 11:00:00,20.16,100.25
2025-01-23 12:00:00,21.312,40.6
2025-01-23 13:00:00,22.944,14.38
2025-01-23 14:00:00,564.96,6.44
2025-01-23 15:00:00,585.6,6.65
2025-01-23 16:00:00,432.0,10.21
2025-01-23 17:00:00,582.624,10.45
2025-01-23 18:00:00,687.168,7.04
2025-01-23 19:00:00,685.344,0.166
2025-01-23 20:00:00,405.504,-9.39
2025-01-23 21:00:00,0.0,-20.7
2025-01-23 22:00:00,0.0,-29.08
2025-01-23 23:00:00,0.0,-25.3
2025-01-24 00:00:00,0.0,19.23
2025-01-24 01:00:00,0.0,180.0
2025-01-24 02:00:00,0.0,286.5
2025-01-24 03:00:00,0.0,424.8
2025-01-24 04:00:00,0.0,536.0
2025-01-24 05:00:00,0.0,597.5
2025-01-24 06:00:00,0.0,602.5
2025-01-24 07:00:00,0.0,553.0
2025-01-24 08:00:00,0.0,456.2
2025-01-24 09:00:00,19.008,328.0
2025-01-24 10:00:00,20.544,201.5
2025-01-24 11:00:00,20.544,102.44
2025-01-24 12:00:00,21.6,40.9
2025-01-24 13:00:00,22.56,13.73
2025-01-24 14:00:00,252.576,5.6
2025-01-24 15:00:00,562.08,6.74
2025-01-24 16:00:00,419.904,9.77
2025-01-24 17:00:00,541.248,9.766
2025-01-24 18:00:00,685.152,7.547
2025-01-24 19:00:00,685.536,0.1792
2025-01-24 20:00:00,322.368,-9.664
2025-01-24 21:00:00,0.0,-20.69
2025-01-24 22:00:00,0.0,-30.14
2025-01-24 23:00:00,0.0,-24.89
2025-01-25 00:00:00,0.0,19.14
2025-01-25 01:00:00,0.0,188.2
2025-01-25 02:00:00,0.0,303.5
2025-01-25 03:00:00,0.0,450.8
2025-01-25 04:00:00,0.0,568.5
2025-01-25 05:00:00,0.0,633.0
2025-01-25 06:00:00,0.0,638.0
2025-01-25 07:00:00,0.0,586.5
2025-01-25 08:00:00,0.0,481.5
2025-01-25 09:00:00,9.504,346.2
2025-01-25 10:00:00,19.776,209.1
2025-01-25 11:00:00,15.552,105.56
2025-01-25 12:00:00,20.544,41.28
2025-01-25 13:00:00,20.544,13.82
2025-01-25 14:00:00,20.64,5.773
2025-01-25 15:00:00,20.64,7.68
2025-01-25 16:00:00,87.264,10.63
2025-01-25 17:00:00,472.992,10.414
2025-01-25 18:00:00,0.0,8.35
2025-01-25 19:00:00,0.0,1.367
2025-01-25 20:00:00,0.0,-9.45
2025-01-25 21:00:00,0.0,-21.06
2025-01-25 22:00:00,0.0,-30.19
2025-01-25 23:00:00,0.0,-25.53
2025-01-26 00:00:00,0.0,19.52
2025-01-26 01:00:00,0.0,193.8
2025-01-26 02:00:00,0.0,318.0
2025-01-26 03:00:00,0.0,476.2
2025-01-26 04:00:00,0.0,603.0
2025-01-26 05:00:00,0.0,674.0
2025-01-26 06:00:00,0.0,680.5
2025-01-26 07:00:00,0.0,627.5
2025-01-26 08:00:00,0.0,517.5
2025-01-26 09:00:00,15.072,371.2
2025-01-26 10:00:00,20.544,225.4
2025-01-26 11:00:00,20.544,111.44
2025-01-26 12:00:00,20.64,43.47
2025-01-26 13:00:00,20.64,12.7
2025-01-26 14:00:00,20.448,5.227
2025-01-26 15:00:00,20.64,5.957
2025-01-26 16:00:00,32.352,10.11
2025-01-26 17:00:00,376.992,11.26
2025-01-26 18:00:00,0.096,7.812
2025-01-26 19:00:00,0.0,2.025
2025-01-26 20:00:00,0.0,-8.375
2025-01-26 21:00:00,0.0,-21.03
2025-01-26 22:00:00,0.0,-29.58
2025-01-26 23:00:00,0.0,-26.3
2025-01-27 00:00:00,0.0,24.62
2025-01-27 01:00:00,0.0,205.6
2025-01-27 02:00:00,0.0,333.5
2025-01-27 03:00:00,0.0,498.5
2025-01-27 04:00:00,0.0,631.0
2025-01-27 05:00:00,0.0,704.5
2025-01-27 06:00:00,0.0,711.5
2025-01-27 07:00:00,0.0,656.5
2025-01-27 08:00:00,0.0,542.0
2025-01-27 09:00:00,16.224,388.0
2025-01-27 10:00:00,20.544,233.5
2025-01-27 11:00:00,19.68,115.9
2025-01-27 12:00:00,20.448,42.97
2025-01-27 13:00:00,24.576,11.81
2025-01-27 14:00:00,23.136,3.25
2025-01-27 15:00:00,23.328,5.355
2025-01-27 16:00:00,474.72,9.37
2025-01-27 17:00:00,585.888,11.164
2025-01-27 18:00:00,688.032,9.01
2025-01-27 19:00:00,686.496,2.305
2025-01-27 20:00:00,398.016,-8.66
2025-01-27 21:00:00,0.0,-20.75
2025-01-27 22:00:00,0.0,-30.81
2025-01-27 23:00:00,0.0,-27.6
2025-01-28 00:00:00,0.0,20.38
2025-01-28 01:00:00,0.0,202.2
2025-01-28 02:00:00,0.0,338.8
2025-01-28 03:00:00,0.0,512.5
2025-01-28 04:00:00,0.0,651.5
2025-01-28 05:00:00,0.0,728.5
2025-01-28 06:00:00,0.0,735.0
2025-01-28 07:00:00,0.0,679.5
2025-01-28 08:00:00,1.056,562.0
2025-01-28 09:00:00,20.16,401.0
2025-01-28 10:00:00,20.256,241.8
