발전구분,호기,일자,1시 발전량(MWh),2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소,파일출처
영흥태양광 #3,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,58.32,97.44,91.68,92.64,80.16,85.92,89.76,1015.68,2296.8,2306.16,1113.6,0.0,0.0,0.0,0.0,0.0,7328.16,305,2306.16,58.32,2306.16,0,남동발전량_2025_01.csv
영흥태양광 #3,2, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,42.912,45.312,34.656,40.416,231.456,766.656,561.792,503.136,856.992,892.128,685.44,0.0,0.0,0.0,0.0,0.0,4660.896,194,892.12,34.656,892.128,0,남동발전량_2025_01.csv
영흥태양광 #3,3, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,42.96,50.4,44.88,38.76,161.88,739.2,764.04,542.52,1011.0,1021.92,400.8,0.0,0.0,0.0,0.0,0.0,4818.36,201,1021.92,38.76,1021.92,0,남동발전량_2025_01.csv
영흥태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,43.469,214.81,412.147,410.304,550.618,621.696,467.366,465.677,214.541,25.421,0.0,0.0,0.0,0.0,0.0,0.0,3426.049,143,621.69,25.421,621.696,0,남동발전량_2025_01.csv
예천태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.18,44.64,145.98,240.66,324.54,402.84,332.1,259.56,277.74,106.02,11.34,0.0,0.0,0.0,0.0,0.0,0.0,2145.6,89,402.84,0.18,402.84,0,남동발전량_2025_01.csv
여수태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.27,432.27,18,432.27,432.27,432.27,0,남동발전량_2025_01.csv
영흥태양광,2, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,33.844,47.069,47.752,48.556,44.636,51.819,46.926,284.573,658.408,685.507,645.12,0.0,0.0,0.0,0.0,0.0,2594.21,108,685.5,33.84,685.507,0,남동발전량_2025_01.csv
탑선태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,339.0,14,339.0,339.0,339.0,0,남동발전량_2025_01.csv
탑선태양광,3, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,342.0,14,342.0,342.0,342.0,0,남동발전량_2025_01.csv
경상대태양광,1, 2025-01-29 00:00:00,0,0,0,0,0,0.0,0.0,1.008,101.736,285.696,444.744,549.936,620.136,340.056,122.256,189.432,216.864,37.656,0.0,0.0,0.0,0.0,0.0,0.0,2909.52,121,620.13,1.008,620.136,0,남동발전량_2025_01.csv
