년월일,호기,설비용량(kW),총량(kWh),평균(kWh),최대(kWh),최소(kWh),최대(시간별_kWh),최소(시간별_kWh),0-1시 발전량(kWh),1-2시 발전량(kWh),2-3시 발전량(kWh),3-4시 발전량(kWh),4-5시 발전량(kWh),5-6시 발전량(kWh),6-7시 발전량(kWh),7-8시 발전량(kWh),8-9시 발전량(kWh),9-10시 발전량(kWh),10-11시 발전량(kWh),11-12시 발전량(kWh),12-13시 발전량(kWh),13-14시 발전량(kWh),14-15시 발전량(kWh),15-16시 발전량(kWh),16-17시 발전량(kWh),17-18시 발전량(kWh),18-19시 발전량(kWh),19-20시 발전량(kWh),20-21시 발전량(kWh),21-22시 발전량(kWh),22-23시 발전량(kWh),23-24시 발전량(kWh)
2022-02-14,1,999.6,1880.933,78.372,289.263,0,289.263,0.723,0,0,0,0,0,0,0,7.232,54.237,261.783,242.981,275.523,266.845,289.263,187.298,96.903,146.801,51.344,0.723,0,0,0,0,0
2022-02-15,1,999.6,5097.542,212.398,822.954,0,822.954,0.723,0,0,0,0,0,0,0,11.571,109.197,397.014,598.052,726.051,822.954,812.106,673.983,506.934,344.946,94.011,0.723,0,0,0,0,0
2022-02-16,1,999.6,3965.073,165.211,734.005,0,734.005,1.446,0,0,0,0,0,0,0,1.446,14.463,108.474,285.647,444.742,734.005,660.243,727.497,558.278,344.946,83.886,1.446,0,0,0,0,0
2022-02-17,1,999.6,2894.802,120.617,557.555,0,557.555,0.723,0,0,0,0,0,0,0,1.446,48.452,111.366,308.788,557.555,519.951,389.059,423.771,310.958,169.219,53.514,0.723,0,0,0,0,0
2022-02-18,1,999.6,1353.029,56.376,286.371,0,286.371,0.723,0,0,0,0,0,0,0,0.723,30.373,103.412,118.598,250.213,286.371,193.806,160.541,141.739,43.389,23.864,0,0,0,0,0,0
2022-02-19,1,999.6,2604.816,108.534,639.995,0,639.995,1.446,0,0,0,0,0,0,0,1.446,52.791,82.44,72.316,219.117,213.332,407.138,639.995,582.865,312.404,20.972,0,0,0,0,0,0
2022-02-20,1,999.6,3526.118,146.922,527.905,0,527.905,2.893,0,0,0,0,0,0,0,2.893,174.281,308.065,407.138,488.132,527.905,417.262,378.935,436.064,290.709,91.841,2.893,0,0,0,0,0
2022-02-21,1,999.6,4612.302,192.179,819.338,0,819.338,31.096,0,0,0,0,0,0,0,31.096,188.744,423.047,444.742,446.912,626.255,819.338,767.994,478.731,301.557,83.886,0,0,0,0,0,0
2022-02-22,1,999.6,4174.067,173.919,823.677,0,823.677,0.723,0,0,0,0,0,0,0,19.525,184.405,184.405,352.901,585.758,823.677,665.305,577.08,491.024,222.733,66.531,0.723,0,0,0,0,0
2022-02-23,1,999.6,4304.958,179.373,873.575,0,873.575,2.169,0,0,0,0,0,0,0,7.955,63.638,161.987,240.812,423.047,607.453,873.575,803.428,620.469,380.381,120.044,2.169,0,0,0,0,0
2022-02-24,1,999.6,6063.68,252.653,896.716,0,896.716,2.169,0,0,0,0,0,0,0,35.435,263.229,533.691,742.683,835.971,824.4,896.716,804.152,625.532,376.042,123.66,2.169,0,0,0,0,0
2022-02-25,1,999.6,5477.199,228.217,880.083,0,880.083,2.893,0,0,0,0,0,0,0,36.158,262.506,522.12,723.881,845.372,880.083,378.935,774.502,590.097,352.178,108.474,2.893,0,0,0,0,0
2022-02-26,1,999.6,5729.581,238.733,861.281,0,861.281,5.062,0,0,0,0,0,0,0,33.988,240.812,484.516,681.215,800.536,861.281,841.756,753.531,583.588,347.839,95.457,5.062,0,0,0,0,0
2022-02-27,1,999.6,6117.194,254.883,907.563,0,907.563,2.893,0,0,0,0,0,0,0,39.774,274.8,545.261,752.084,868.513,907.563,860.558,757.869,585.035,387.613,135.231,2.893,0,0,0,0,0
2022-02-28,1,999.6,2638.803,109.95,543.815,0,543.815,0.723,0,0,0,0,0,0,0,48.452,235.749,341.331,342.777,244.427,543.815,442.573,148.247,94.734,148.247,47.728,0.723,0,0,0,0,0
2022-03-01,1,999.6,2888.294,120.346,698.571,0,698.571,3.616,0,0,0,0,0,0,0,0,16.633,56.406,63.638,127.999,387.613,698.571,649.396,522.843,279.139,82.44,3.616,0,0,0,0,0
2022-03-02,1,999.6,6282.797,261.783,893.823,0,893.823,2.893,0,0,0,0,0,0,0,41.943,293.602,572.741,759.316,851.157,888.038,893.823,813.553,623.362,402.076,140.293,2.893,0,0,0,0,0
2022-03-03,1,999.6,4558.064,189.919,799.813,0,799.813,4.339,0,0,0,0,0,0,0,36.881,167.049,350.008,479.454,722.435,799.813,775.225,518.504,383.997,222.733,97.626,4.339,0,0,0,0,0
2022-03-04,1,999.6,3556.49,148.187,807.044,0,807.044,6.508,0,0,0,0,0,0,0,15.909,49.175,80.994,105.581,224.179,575.634,807.044,720.265,555.385,319.636,96.18,6.508,0,0,0,0,0
2022-03-05,1,999.6,5888.677,245.362,864.897,0,864.897,10.124,0,0,0,0,0,0,0,39.051,225.625,464.991,681.938,818.615,864.897,822.954,762.932,626.978,397.014,173.558,10.124,0,0,0,0,0
2022-03-06,1,999.6,6330.524,263.772,931.427,0,931.427,4.339,0,0,0,0,0,0,0,61.468,286.371,525.736,761.485,888.761,931.427,911.179,813.553,637.825,398.46,109.92,4.339,0,0,0,0,0
2022-03-07,1,999.6,4226.859,176.119,662.413,0,662.413,7.232,0,0,0,0,0,0,0,20.972,112.089,356.517,471.499,662.413,644.334,522.843,577.08,426.663,303.003,122.214,7.232,0,0,0,0,0
2022-03-08,1,999.6,5687.636,236.985,833.078,0,833.078,5.785,0,0,0,0,0,0,0,49.898,251.659,485.239,678.322,797.643,833.078,816.445,727.497,566.956,344.946,130.168,5.785,0,0,0,0,0
2022-03-09,1,999.6,5416.453,225.686,811.383,0,811.383,7.232,0,0,0,0,0,0,0,50.621,251.659,475.838,652.288,767.994,811.383,764.378,678.322,530.798,317.466,108.474,7.232,0,0,0,0,0
2022-03-10,1,999.6,5728.857,238.702,834.524,0,834.524,7.232,0,0,0,0,0,0,0,54.237,273.354,521.397,697.847,805.598,834.524,811.383,734.728,575.634,315.297,97.626,7.232,0,0,0,0,0
2022-03-11,1,999.6,2528.16,105.34,398.46,0,398.46,5.785,0,0,0,0,0,0,0,73.039,192.36,313.127,258.891,281.308,398.46,228.518,296.495,269.015,164.157,47.005,5.785,0,0,0,0,0
2022-03-12,1,999.6,5522.033,230.085,821.507,0,821.507,4.339,0,0,0,0,0,0,0,65.084,270.461,493.917,676.153,776.672,821.507,796.92,715.926,556.108,262.506,82.44,4.339,0,0,0,0,0
2022-03-13,1,999.6,336.991,14.041,52.067,0,52.067,0.723,0,0,0,0,0,0,0,7.955,26.034,42.666,32.542,39.774,5.785,32.542,41.22,52.067,22.418,33.265,0.723,0,0,0,0,0
2022-03-14,1,999.6,1015.315,42.305,195.253,0,195.253,4.339,0,0,0,0,0,0,0,4.339,36.158,67.254,120.767,195.253,155.479,150.417,99.073,63.638,94.734,28.203,0,0,0,0,0,0
2022-03-15,1,999.6,6187.339,257.806,862.727,0,862.727,0.723,0,0,0,0,0,0,0.723,87.502,333.376,566.233,732.559,833.801,862.727,843.925,768.717,621.193,378.935,151.14,6.508,0,0,0,0,0
2022-03-16,1,999.6,5687.637,236.985,813.553,0,813.553,0.723,0,0,0,0,0,0,0.723,77.378,286.371,508.38,684.107,777.395,813.553,797.643,720.988,555.385,337.715,119.321,8.678,0,0,0,0,0
2022-03-17,1,999.6,879.361,36.64,151.14,0,151.14,3.616,0,0,0,0,0,0,0,7.955,31.096,128.722,65.084,151.14,149.694,55.683,145.355,114.982,26.034,3.616,0,0,0,0,0,0
2022-03-18,1,999.6,1533.093,63.879,468.606,0,468.606,1.446,0,0,0,0,0,0,0,1.446,10.847,33.988,108.474,65.807,184.405,468.606,248.766,315.297,77.378,18.079,0,0,0,0,0,0
2022-03-19,1,999.6,4234.813,176.451,948.06,0,948.06,1.446,0,0,0,0,0,0,0,20.972,72.316,120.767,210.439,831.632,948.06,890.931,600.944,323.975,139.569,73.762,1.446,0,0,0,0,0
2022-03-20,1,999.6,3309.894,137.912,643.611,0,643.611,2.169,0,0,0,0,0,0,2.169,54.96,191.637,359.409,325.421,643.611,625.532,325.421,569.125,158.372,44.836,9.401,0,0,0,0,0,0
2022-03-21,1,999.6,1574.315,65.596,278.416,0,278.416,7.232,0,0,0,0,0,0,0,23.141,162.711,173.558,278.416,276.969,257.444,165.603,132.338,70.146,26.757,7.232,0,0,0,0,0,0
2022-03-22,1,999.6,4746.81,197.784,753.531,0,753.531,2.169,0,0,0,0,0,0,2.169,90.395,237.196,529.352,666.752,744.853,753.531,658.074,518.504,276.246,177.174,83.886,8.678,0,0,0,0,0
2022-03-23,1,999.6,2427.642,101.152,736.175,0,736.175,4.339,0,0,0,0,0,0,0,4.339,33.265,108.474,221.286,127.276,355.071,736.175,506.211,84.609,127.999,109.197,13.74,0,0,0,0,0
2022-03-24,1,999.6,5743.32,239.305,832.355,0,832.355,3.616,0,0,0,0,0,0,3.616,91.841,300.111,516.335,698.571,794.027,832.355,799.089,697.847,535.86,326.867,130.892,15.909,0,0,0,0,0
2022-03-25,1,999.6,1246.724,51.947,201.761,0,201.761,0.723,0,0,0,0,0,0,0.723,32.542,93.287,96.18,129.445,201.761,167.773,140.293,150.417,94.734,101.242,37.604,0.723,0,0,0,0,0
2022-03-26,1,999.6,4784.412,199.351,903.224,0,903.224,2.169,0,0,0,0,0,0,2.169,18.802,63.638,234.303,402.076,538.029,903.224,896.716,788.242,529.352,284.201,114.982,8.678,0,0,0,0,0
2022-03-27,1,999.6,6182.277,257.595,912.625,0,912.625,7.232,0,0,0,0,0,0,7.232,109.92,267.568,472.222,749.192,887.315,912.625,852.603,767.994,591.543,399.183,155.479,9.401,0,0,0,0,0
2022-03-28,1,999.6,3751.742,156.323,647.226,0,647.226,4.339,0,0,0,0,0,0,0,65.807,263.953,344.223,388.336,550.323,582.142,647.226,553.216,226.348,96.903,28.926,4.339,0,0,0,0,0
